provider_code,station_code,station_name,latitude,longitude,altitude_m
inmet,A811,CANGUCU,-31.4033,-52.7008,446
inmet,A812,CACAPAVA DO SUL,-30.5452,-53.4669,420
inmet,A813,RIO PARDO,-29.8722,-52.3819,106
inmet,A814,URUSSANGA,-28.5324,-49.3152,40
inmet,A815,SAO JOAQUIM,-28.2756,-49.9346,1400
inmet,A816,NOVO HORIZONTE,-26.4063,-52.8502,943
inmet,A826,ALEGRETE,-29.7090,-55.5254,120
inmet,A827,BAGE,-31.3477,-54.0133,226
inmet,A828,ERECHIM,-27.6577,-52.3058,777
inmet,A830,SAO BORJA,-28.6500,-56.0163,81
inmet,A831,QUARAI,-30.3685,-56.4371,113
inmet,A832,SAO GABRIEL,-30.3414,-54.3109,114
inmet,A833,SANTIAGO,-29.1915,-54.8856,390
inmet,A836,JAGUARAO,-32.5347,-53.3758,31
inmet,A837,SOLEDADE,-28.8592,-52.5423,660
inmet,A838,CAMAQUA,-30.8079,-51.8342,92
inmet,A839,PASSO FUNDO,-28.2268,-52.4035,680
inmet,A840,BENTO GONCALVES,-29.1645,-51.5342,623
inmet,A841,JOACABA,-27.1691,-51.5588,767
inmet,A844,LAGOA VERMELHA,-28.2223,-51.5128,833
inmet,A845,BOM JARDIM DA SERRA - MORRO DA IGREJA,-28.1269,-49.4796,1790
inmet,A848,DIONISIO CERQUEIRA,-26.2865,-53.6331,807
inmet,A852,SAO LUIZ GONZAGA,-28.4172,-54.9625,245
inmet,A853,CRUZ ALTA,-28.6034,-53.6735,426
inmet,A854,FREDERICO WESTPHALEN,-27.3955,-53.4294,489
inmet,A856,PALMEIRA DAS MISSOES,-27.9202,-53.3180,614
inmet,A857,SAO MIGUEL DO OESTE,-26.7861,-53.5138,645
inmet,A858,XANXERE,-26.9386,-52.3980,878
inmet,A859,CACADOR,-26.8191,-50.9855,944
inmet,A860,CURITIBANOS,-27.2886,-50.6042,978
inmet,A879,CANELA,-29.3688,-50.8272,830
inmet,A880,VACARIA,-28.5136,-50.8827,969
inmet,A881,DOM PEDRITO,-31.0025,-54.6180,150
inmet,A883,IBIRUBA,-28.6534,-53.1118,455
inmet,A884,CAMPO BOM,-29.6742,-51.0640,23
inmet,A886,TUPANCIRETA,-29.0893,-53.8266,462
inmet,A887,CAPAO DO LEAO (PELOTAS),-31.8025,-52.4072,13
inmet,A889,SAO VICENTE DO SUL,-29.7022,-54.6944,134
inmet,A893,ENCRUZILHADA DO SUL,-30.5430,-52.5247,427
inmet,A894,SERAFINA CORREA,-28.7048,-51.8707,545
inmet,A895,CHAPECO,-27.0853,-52.6357,679
inmet,A897,CAMBARA DO SUL,-29.0491,-50.1496,1017
inmet,A898,CAMPOS NOVOS,-27.3886,-51.2158,963
inmet,B807,PORTO ALEGRE- BELEM NOVO,-30.1861,-51.1780,2
